,influencer,title,author,subtitle,id_code,identifier_type,ISBN
126,Bill Gates,On Immunity,Eula Biss,An Inoculation,1555977200,ISBN,1555977200
127,Bill Gates,The Rational Optimist,Matt Ridley,How Prosperity Evolves,0061452068,ISBN,0061452068
128,Bill Gates,"The Feynman Lectures on Physics, Vol. I",Richard P. Feynman,"Mainly Mechanics, Radiation, and Heat",0465024939,ISBN,0465024939
129,Bill Gates,Blitzscaling,Reid Hoffman,The Lightning-Fast Path to Building Massively Valuable Companies,1524761419,ISBN,1524761419
130,Bill Gates,How Asia Works,Joe Studwell,,0802121322,ISBN,0802121322
131,Bill Gates,The Bottom Billion,Paul Collier,Why the Poorest Countries are Failing and What Can Be Done About It,B000SEIU28,ASIN,
132,Bill Gates,String Theory,David Foster Wallace,David Foster Wallace on Tennis,1598534807,ISBN,1598534807
133,Bill Gates,How to Lie with Statistics,Darrell Huff,,0393310728,ISBN,0393310728
134,Bill Gates,Life Is What You Make It,Peter Buffett,Find Your Own Path to Fulfillment,0307464717,ISBN,0307464717
135,Bill Gates,In FED We Trust,David Wessel,Ben Bernanke's War on the Great Panic,0307459683,ISBN,0307459683
136,Bill Gates,The Magic of Reality,Richard Dawkins,How We Know What's Really True,1451675046,ISBN,1451675046
137,Bill Gates,"Guns, Germs, and Steel",Jared Diamond,The Fates of Human Societies,0393354326,ISBN,0393354326
138,Bill Gates,Billion Dollar Whale,Tom Wright,"The Man Who Fooled Wall Street, Hollywood, and the World",031643650X,ISBN,031643650X
139,Bill Gates,A World-Class Education,Vivien Stewart,Learning from International Models of Excellence and Innovation,B0077D8JN8,ASIN,
140,Bill Gates,Collapse,Jared Diamond,How Societies Choose to Fail or Succeed,B004H0M8EA,ASIN,
141,Bill Gates,"Thinking, Fast and Slow",Daniel Kahneman,,0374533555,ISBN,0374533555
142,Bill Gates,"The Feynman Lectures on Physics, Vol. II",Richard P. Feynman,Mainly Electromagnetism and Matter,B00PSSCSQI,ASIN,
143,Bill Gates,The Gene,Siddhartha Mukherjee,An Intimate History,1476733503,ISBN,1476733503
144,Bill Gates,Deng Xiaoping and the Transformation of China,Ezra F. Vogel,,0674725867,ISBN,0674725867
145,Bill Gates,The Man Who Fed the World,Leon Hesser,,0981848664,ISBN,0981848664
146,Bill Gates,Creating the Twentieth Century,Vaclav Smil,Technical Innovations of 1867-1914 and Their Lasting Impact,B00532P4G0,ASIN,
147,Bill Gates,Energy and Civilization,Vaclav Smil,A History,0262536161,ISBN,0262536161
148,Bill Gates,Sustainable Energy,David JC MacKay,Without the Hot Air,0954452933,ISBN,0954452933
149,Bill Gates,xkcd,Randall Munroe,volume 0,0615314465,ISBN,0615314465
150,Bill Gates,The Rosie Project,Graeme Simsion,A Novel,B00BSBR9N6,ASIN,
151,Bill Gates,The Idealist,Nina Munk,Jeffrey Sachs and the Quest to End Poverty,B00BVJG2LK,ASIN,
152,Bill Gates,The Vital Question,Nick Lane,"Energy, Evolution, and the Origins of Complex Life",0393352978,ISBN,0393352978
153,Bill Gates,The Road to Character,David Brooks,,0812983416,ISBN,0812983416
154,Bill Gates,Measure What Matters,John Doerr,"How Google, Bono, and the Gates Foundation Rock the World with OKRs",B078FZ9SYB,ASIN,
155,Bill Gates,What If?,Randall Munroe,Serious Scientific Answers to Absurd Hypothetical Questions,0544456866,ISBN,0544456866
156,Bill Gates,Growth,Vaclav Smil,From Microorganisms to Megacities,B07XKXFLK3,ASIN,
157,Bill Gates,Seveneves,Neal Stephenson,A Novel,0062334514,ISBN,0062334514
158,Bill Gates,Shoe Dog,Phil Knight,A Memoir by the Creator of Nike,B0176M1A44,ASIN,
159,Bill Gates,SuperFreakonomics,Steven D. Levitt,"Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",0060889586,ISBN,0060889586
160,Bill Gates,The World Is Flat,Thomas L. Friedman,A Brief History of the Twenty-first Century,0312425074,ISBN,0312425074
161,Bill Gates,Origin Story,David Christian,A Big History of Everything,0316392006,ISBN,0316392006
162,Bill Gates,Too Big to Fail,Andrew Ross Sorkin,The Inside Story of How Wall Street and Washington Fought to Save the Financial System--and Themselves,0143118242,ISBN,0143118242
163,Bill Gates,The World Until Yesterday,Jared Diamond,What Can We Learn from Traditional Societies?,0670024813,ISBN,0670024813
164,Bill Gates,The Sixth Extinction,Elizabeth Kolbert,An Unnatural History,1250062187,ISBN,1250062187
165,Bill Gates,The Most Powerful Idea in the World,William Rosen,"A Story of Steam, Industry, and Invention",1400067057,ISBN,1400067057
166,Bill Gates,The Future of Capitalism,Paul Collier,Facing the New Anxieties,B077M9MCVW,ASIN,
167,Bill Gates,The Art of Being Unreasonable,Eli Broad,Lessons in Unconventional Thinking,111817321X,ISBN,111817321X
168,Bill Gates,Brief Interviews with Hideous Men,David Foster Wallace,,0316925195,ISBN,0316925195
169,Bill Gates,Abundance,Peter H. Diamandis,The Future Is Better Than You Think,1451614217,ISBN,1451614217
170,Bill Gates,Where Good Ideas Come From,Steven Johnson,The Natural History of Innovation,1594485380,ISBN,1594485380
171,Bill Gates,The Myth of the Strong Leader,Archie Brown,Political Leadership in the Modern Age,0465027660,ISBN,0465027660
172,Bill Gates,The Cat's Table,Michael Ondaatje,,0307744418,ISBN,0307744418
173,Bill Gates,Tools and Weapons,Brad Smith,The Promise and the Peril of the Digital Age,B07PBQQX67,ASIN,
174,Bill Gates,Why Nations Fail,Daron Acemoglu,"The Origins of Power, Prosperity, and Poverty",0307719227,ISBN,0307719227
175,Bill Gates,Showing Up for Life,Bill Gates Sr.,Thoughts on the Gifts of a Lifetime,0385527020,ISBN,0385527020
176,Bill Gates,Identity,Francis Fukuyama,The Demand for Dignity and the Politics of Resentment,0374129290,ISBN,0374129290
177,Bill Gates,Becoming Steve Jobs,Brent Schlender,The Evolution of a Reckless Upstart into a Visionary Leader,0385347421,ISBN,0385347421
178,Bill Gates,Prepared,Diane Tavenner,What Kids Need for a Fulfilled Life,B07M9HGLB3,ASIN,
179,Bill Gates,Broken Genius,Joel N. Shurkin,"The Rise and Fall of William Shockley, Creator of the Electronic Age",0230551920,ISBN,0230551920
180,Bill Gates,Behind the Beautiful Forevers,Katherine Boo,"Life, Death, and Hope in a Mumbai Undercity",1400067553,ISBN,1400067553
181,Bill Gates,A Separate Peace,John Knowles,,0743253973,ISBN,0743253973
182,Bill Gates,Modernist Cuisine,Nathan Myhrvold,The Art and Science of Cooking,0982761007,ISBN,0982761007
183,Bill Gates,Who's Teaching Your Children?,Vivian Troen,Why the Teacher Crisis Is Worse Than You Think and What Can Be Done About It,0300105207,ISBN,0300105207
184,Bill Gates,Team of Rivals,Doris Kearns Goodwin,The Political Genius of Abraham Lincoln,B000N2HBSO,ASIN,
185,Bill Gates,Outliers,Malcolm Gladwell,The Story of Success,0316017930,ISBN,0316017930
186,Bill Gates,Evicted,Matthew Desmond,Poverty and Profit in the American City,0553447459,ISBN,0553447459
187,Bill Gates,Big History,Cynthia Stokes Brown,From the Big Bang to the Present,1595588485,ISBN,1595588485
188,Bill Gates,Awakening Joy,James Baraz,10 Steps That Will Put You on the Road to Real Happiness,055380703X,ISBN,055380703X
189,Bill Gates,Why America Is Not a New Rome,Vaclav Smil,,0262526859,ISBN,0262526859
190,Bill Gates,Energy Transitions,Vaclav Smil,Global and National Perspectives,144085324X,ISBN,144085324X
191,Bill Gates,Why Don't Students Like School?,Daniel T. Willingham,A Cognitive Scientist Answers Questions About How the Mind Works and What It Means for the Classroom,0470279303,ISBN,0470279303
192,Bill Gates,The Perfect Weapon,David E. Sanger,"War, Sabotage, and Fear in the Cyber Age",0451497899,ISBN,0451497899
193,Bill Gates,The Great Escape,Angus Deaton,"Health, Wealth, and the Origins of Inequality",0691165629,ISBN,0691165629
194,Bill Gates,The Catcher in the Rye,J.D. Salinger,,0316769177,ISBN,0316769177
195,Bill Gates,The Heart,Maylis de Kerangal,A Novel,B011I2MOVG,ASIN,
196,Bill Gates,The Emperor of All Maladies,Siddhartha Mukherjee,A Biography of Cancer,1439170916,ISBN,1439170916
197,Bill Gates,Poor Economics,Abhijit V. Banerjee,A Radical Rethinking of the Way to Fight Global Poverty,1610390938,ISBN,1610390938
198,Bill Gates,"Hot, Flat, and Crowded",Thomas L. Friedman,Why We Need a Green Revolution--and How It Can Renew America,0312428928,ISBN,0312428928
199,Bill Gates,Dad Is Fat,Jim Gaffigan,,038534905X,ISBN,038534905X
200,Bill Gates,Capitalism without Capital,Jonathan Haskel,The Rise of the Intangible Economy,B071P3VGHQ,ASIN,
201,Bill Gates,Value-Added Measures in Education,Douglas N. Harris,What Every Educator Needs to Know,1612500005,ISBN,1612500005
202,Bill Gates,The New Science of Strong Materials,J.E. Gordon,Or Why You Don't Fall through the Floor,0691180989,ISBN,0691180989
203,Bill Gates,The Great Gatsby,F. Scott Fitzgerald,,0743273567,ISBN,0743273567
204,Bill Gates,Leonardo da Vinci,Walter Isaacson,,1501139150,ISBN,1501139150
205,Bill Gates,Why Does College Cost So Much?,Robert B. Archibald,,0190214104,ISBN,0190214104
206,Bill Gates,Unlocking the Gates,Taylor Walsh,How and Why Leading Universities Are Opening Up Access to Their Courses,0691148740,ISBN,0691148740
207,Bill Gates,This Time Is Different,Carmen M. Reinhart,Eight Centuries of Financial Folly,0691142165,ISBN,0691142165
208,Bill Gates,Open,Andre Agassi,An Autobiography,0307388409,ISBN,0307388409
209,Bill Gates,Making the Modern World,Vaclav Smil,Materials and Dematerialization,1119942535,ISBN,1119942535
210,Bill Gates,Beyond Smoke and Mirrors,Douglas S. Massey,Mexican Immigration in an Era of Economic Integration,B015DZ7OL4,ASIN,
211,Bill Gates,A Gentleman in Moscow,Amor Towles,A Novel,0670026190,ISBN,0670026190
212,Bill Gates,Work Hard. Be Nice.,Jay Mathews,How Two Inspired Teachers Created the Most Promising Schools in America,1565125169,ISBN,1565125169
213,Bill Gates,Titan II,David Stumpf,A History of a Cold War Missile Program,1557286019,ISBN,1557286019
214,Bill Gates,These Truths,Jill Lepore,A History of the United States,B07BLKWBYT,ASIN,
215,Bill Gates,The Sympathizer,Viet Thanh Nguyen,A Novel,B00PSSG4MM,ASIN,
216,Bill Gates,The Signal and the Noise,Nate Silver,Why So Many Predictions Fail-but Some Don't,B007V65R54,ASIN,
217,Bill Gates,The Hair of the Dog,Karl Sabbagh,And Other Scientific Surprises,B00GVFWRI6,ASIN,
218,Bill Gates,The Grid,Phillip F. Schewe,A Journey Through the Heart of Our Electrified World,0309455995,ISBN,0309455995
219,Bill Gates,The Bet,Paul Sabin,,B00E64EGZQ,ASIN,
220,Bill Gates,Six Days of the Condor,James Grady,,1504028058,ISBN,1504028058
221,Bill Gates,Prime Movers of Globalization,Vaclav Smil,The History and Impact of Diesel Engines and Gas Turbines,0262014432,ISBN,0262014432
222,Bill Gates,Poor Numbers,Morten Jerven,How We Are Misled by African Development Statistics and What to Do about It,080147860X,ISBN,080147860X
223,Bill Gates,How to Spend $50 Billion to Make the World a Better Place,Bjørn Lomborg,,0521685710,ISBN,0521685710
224,Bill Gates,Hit Refresh,Satya Nadella,The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone,B01HOT5SQA,ASIN,
225,Bill Gates,Getting Better,Charles Kenny,Why Global Development Is Succeeding--And How We Can Improve the World Even More,046503103X,ISBN,046503103X
226,Bill Gates,For the Love of Physics,Walter Lewin,From the End of the Rainbow to the Edge Of Time - A Journey Through the Wonders of Physics,1439108277,ISBN,1439108277
227,Bill Gates,Everything Happens for a Reason,Kate Bowler,And Other Lies I've Loved,0399592083,ISBN,0399592083
228,Bill Gates,Einstein,Walter Isaacson,His Life and Universe,0743264746,ISBN,0743264746
229,Bill Gates,Change.edu,Andrew S Rosen,Rebooting for the New Talent Economy,1607144417,ISBN,1607144417
230,Bill Gates,World on the Edge,Lester R. Brown,How to Prevent Environmental and Economic Collapse,0393339491,ISBN,0393339491
231,Bill Gates,The Path Between the Seas,David McCullough,"The Creation of the Panama Canal, 1870-1914",0671244094,ISBN,0671244094
232,Bill Gates,The City That Became Safe,Franklin E. Zimring,New York's Lessons for Urban Crime and Its Control,0199844429,ISBN,0199844429
233,Bill Gates,Class Warfare,Steven Brill,Inside the Fight to Fix America's Schools,145161201X,ISBN,145161201X
234,Bill Gates,Academically Adrift,Richard Arum,Limited Learning on College Campuses,0226028550,ISBN,0226028550
235,Bill Gates,Energy Myths and Realities,Vaclav Smil,Bringing Science to the Energy Policy Debate,B004RIOM8C,ASIN,
236,Bill Gates,Only the Paranoid Survive,Andrew S. Grove,How to Exploit the Crisis Points That Challenge Every Company,0385483821,ISBN,0385483821
237,Bill Gates,The Power to Compete,Hiroshi Mikitani,An Economist and an Entrepreneur on Revitalizing Japan in the Global Economy,B00ORQ4F54,ASIN,
238,Bill Gates,The Moon Is a Harsh Mistress,Robert A. Heinlein,,0312863551,ISBN,0312863551
239,Bill Gates,The End of Poverty,Jeffrey D. Sachs,Economic Possibilities for Our Time,0143036580,ISBN,0143036580
