,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
599,Joe Rogan,The Sacred Mushroom and The Cross,John M. Allegro,A study of the nature and origins of Christianity within the fertility cults of the ancient Near East,982556276,ISBN,John M. Allegro,The Sacred Mushroom and The Cross,,,https://images-na.ssl-images-amazon.com/images/I/418YlQmHxjL.jpg
601,Joe Rogan,The Talent Code,Daniel Coyle,Greatness Isn't Born. It's Grown. Here's How.,055380684X,ISBN,Daniel Coyle,The Talent Code,O Código Do Talento,8522011265,https://images-na.ssl-images-amazon.com/images/I/81DYeJ4wSjL.jpg
603,Joe Rogan,DMT,Rick Strassman,The Spirit Molecule: A Doctor's Revolutionary Research into the Biology of Near-Death and Mystical Experiences,892819278,ISBN,Rick Strassman,DMT,,,https://m.media-amazon.com/images/I/51qOzN8vMOL._SY346_.jpg
605,Joe Rogan,The God Delusion,Richard Dawkins,,618680004,ISBN,Richard Dawkins,The God Delusion,Deus um delírio,9788535910704,"https://images-na.ssl-images-amazon.com/images/I/31dyEMmo+4L._SX331_BO1,204,203,200_.jpg"
607,Joe Rogan,Race Matters,Cornel West,,807008834,ISBN,Cornel West,Race Matters,,,"https://images-na.ssl-images-amazon.com/images/I/51Fwn9ClLFL._SX322_BO1,204,203,200_.jpg"
609,Joe Rogan,Zen in the Art of Archery,Eugen Herrigel,,375705090,ISBN,Eugen Herrigel,Zen in the Art of Archery,A Arte Cavalheiresca do Arqueiro Zen,8531517656,"https://images-na.ssl-images-amazon.com/images/I/41JvJqkalfL._SX332_BO1,204,203,200_.jpg"
611,Joe Rogan,Shook One,Charlamagne Tha God,Anxiety Playing Tricks on Me,1501193260,ISBN,Charlamagne Tha God,Shook One,,,https://images-na.ssl-images-amazon.com/images/I/71TDTltXlbL.jpg
613,Joe Rogan,The Madness of Crowds,Douglas Murray,"Gender, Race and Identity",1635579988,ISBN,Douglas Murray,The Madness of Crowds,A loucura das massas,8501118575,https://m.media-amazon.com/images/I/51R+bqJ7VnL.jpg
615,Joe Rogan,Irresistible,Adam Alter,The Rise of Addictive Technology and the Business of Keeping Us Hooked,1594206643,ISBN,Adam Alter,Irresistible,Irresistível,8547000585,"https://images-na.ssl-images-amazon.com/images/I/51DIHFf3q4L._SX346_BO1,204,203,200_.jpg"
617,Joe Rogan,Industrial-Strength Denial,Barbara Freese,"Eight Stories of Corporations Defending the Indefensible, from the Slave Trade to Climate Change",520296281,ISBN,Barbara Freese,Industrial-Strength Denial,,,https://m.media-amazon.com/images/I/41H4tDAKKgL.jpg
619,Joe Rogan,True Believer,Jack Carr,A Thriller,1501180843,ISBN,Jack Carr,True Believer,,,https://m.media-amazon.com/images/I/51mM57EUGSL._SY346_.jpg
621,Jocko Willink,True Believer,Jack Carr,A Thriller,1501180843,ISBN,Jack Carr,True Believer,,,https://m.media-amazon.com/images/I/51mM57EUGSL._SY346_.jpg
622,Joe Rogan,Savage Son,Jack Carr,A Thriller,1982123702,ISBN,Jack Carr,Savage Son,,,https://m.media-amazon.com/images/I/51147s5hOnL.jpg
624,Joe Rogan,The Hustler,Walter Tevis,,1560254734,ISBN,Walter Tevis,The Hustler,,,https://images-na.ssl-images-amazon.com/images/I/51JMsiqnSUL.jpg
626,Joe Rogan,The Case Against Sugar,Gary Taubes,,307946649,ISBN,Gary Taubes,The Case Against Sugar,Açúcar: culpado ou inocente?,8525437638,https://m.media-amazon.com/images/I/51qfrAJKHPL._SY346_.jpg
628,Joe Rogan,The Immortality Key,Brian C. Muraresku,The Secret History of the Religion with No Name,1250207142,ISBN,Brian C. Muraresku,The Immortality Key,,,"https://images-na.ssl-images-amazon.com/images/I/513KSVtgT4L._SX327_BO1,204,203,200_.jpg"
630,Selena Gomez,Signs,Laura Lynne Jackson,The Secret Language of the Universe,399591613,ISBN,Laura Lynne Jackson,Signs,Sinais,9892347560,"https://images-na.ssl-images-amazon.com/images/I/41hr5g399xL._SX333_BO1,204,203,200_.jpg"
632,Selena Gomez,The Undocumented Americans,Karla Cornejo Villavicencio,,399592687,ISBN,Karla Cornejo Villavicencio,The Undocumented Americans,,,https://m.media-amazon.com/images/I/41OxKBhQicL._SY346_.jpg
634,Elon Musk,Twelve Against the Gods,William Bolitho,The Story of Adventure,1635765390,ISBN,William Bolitho,Twelve Against the Gods,,,https://m.media-amazon.com/images/I/51XADi+oaVL._SX35_.jpg
635,Elon Musk,Zero to One,Peter Thiel,"Notes on Startups, or How to Build the Future",804139296,ISBN,Peter Thiel,Zero to One,De zero a um,8539006200,"https://images-na.ssl-images-amazon.com/images/I/419MiydHgiL._SX346_BO1,204,203,200_.jpg"
636,Eric Weinstein,Zero to One,Peter Thiel,"Notes on Startups, or How to Build the Future",804139296,ISBN,Peter Thiel,Zero to One,De zero a um,8539006200,"https://images-na.ssl-images-amazon.com/images/I/419MiydHgiL._SX346_BO1,204,203,200_.jpg"
637,Mark Zuckerberg,Zero to One,Peter Thiel,"Notes on Startups, or How to Build the Future",804139296,ISBN,Peter Thiel,Zero to One,De zero a um,8539006200,"https://images-na.ssl-images-amazon.com/images/I/419MiydHgiL._SX346_BO1,204,203,200_.jpg"
638,Ben Horowitz,Zero to One,Peter Thiel,"Notes on Startups, or How to Build the Future",804139296,ISBN,Peter Thiel,Zero to One,De zero a um,8539006200,"https://images-na.ssl-images-amazon.com/images/I/419MiydHgiL._SX346_BO1,204,203,200_.jpg"
639,Nassim Nicholas Taleb,Zero to One,Peter Thiel,"Notes on Startups, or How to Build the Future",804139296,ISBN,Peter Thiel,Zero to One,De zero a um,8539006200,"https://images-na.ssl-images-amazon.com/images/I/419MiydHgiL._SX346_BO1,204,203,200_.jpg"
640,Elon Musk,Deep Learning,Ian Goodfellow,,262035618,ISBN,Ian Goodfellow,Deep Learning,,,"https://images-na.ssl-images-amazon.com/images/I/61qbj4KwauL._SX378_BO1,204,203,200_.jpg"
641,Elon Musk,Lying,Sam Harris,,1940051002,ISBN,Sam Harris,Lying,Despertar,8535925651,"https://images-na.ssl-images-amazon.com/images/I/41cYwnylfyL._SX338_BO1,204,203,200_.jpg"
642,Tim Ferriss,Lying,Sam Harris,,1940051002,ISBN,Sam Harris,Lying,Despertar,8535925651,"https://images-na.ssl-images-amazon.com/images/I/41cYwnylfyL._SX338_BO1,204,203,200_.jpg"
643,Elon Musk,Superintelligence,Nick Bostrom,"Paths, Dangers, Strategies",198739834,ISBN,Nick Bostrom,Superintelligence,Superinteligência,8594540604,https://images-na.ssl-images-amazon.com/images/I/513DszxqUKL.jpg
644,Sam Harris,Superintelligence,Nick Bostrom,"Paths, Dangers, Strategies",198739834,ISBN,Nick Bostrom,Superintelligence,Superinteligência,8594540604,https://images-na.ssl-images-amazon.com/images/I/513DszxqUKL.jpg
645,Elon Musk,Stalin,Simon Sebag Montefiore,The Court of the Red Tsar,1400076781,ISBN,Simon Sebag Montefiore,Stalin,Stálin,8535907688,"https://images-na.ssl-images-amazon.com/images/I/41emd7L78XL._SX346_BO1,204,203,200_.jpg"
646,Elon Musk,A Woman Makes a Plan,Maye Musk,"Advice for a Lifetime of Adventure, Beauty, and Success",1984878506,ISBN,Maye Musk,A Woman Makes a Plan,,,https://m.media-amazon.com/images/I/41NJ62koEjL._SY346_.jpg
647,Elon Musk,Acts of Love,Talulah Riley,,1473637880,ISBN,Talulah Riley,Acts of Love,,,"https://images-na.ssl-images-amazon.com/images/I/51oKNTssrPL._SX323_BO1,204,203,200_.jpg"
648,Elon Musk,The Wealth of Nations,Adam Smith,,1731703619,ISBN,Adam Smith,The Wealth of Nations,Box A riqueza das nações,8546900981,"https://images-na.ssl-images-amazon.com/images/I/41NqKU3+S3L._SY344_BO1,204,203,200_.jpg"
649,Noam Chomsky,The Wealth of Nations,Adam Smith,,1731703619,ISBN,Adam Smith,The Wealth of Nations,Box A riqueza das nações,8546900981,"https://images-na.ssl-images-amazon.com/images/I/41NqKU3+S3L._SY344_BO1,204,203,200_.jpg"
